GRAMMAR,SPEAKING,LISTENING,WRITING,READING,Cluster
13.3,14.0,18.0,14.3,16.0,1
17.3,13.5,20.0,12.0,12.5,1
12.8,13.5,16.0,13.0,18.0,0
18.0,13.0,6.0,14.5,17.3,0
10.1,12.0,8.0,12.0,6.0,2
8.2,14.0,9.2,15.5,18.7,0
16.0,13.0,6.0,17.0,14.0,0
9.8,14.0,10.0,15.0,9.5,0
11.6,15.5,12.0,14.5,13.3,0
8.2,13.0,6.7,13.0,12.0,2
14.2,13.0,14.0,13.0,14.0,0
17.4,13.0,20.0,12.5,18.7,1
8.0,12.5,15.4,13.0,9.3,2
13.1,14.5,16.9,12.5,17.3,1
10.4,14.0,10.0,12.5,13.3,0
14.1,13.0,18.2,14.0,18.0,1
6.9,12.0,7.3,11.0,13.0,2
15.1,12.0,18.0,12.5,20.0,0
12.599999999999998,14.5,20.0,14.5,15.7,1
7.8999999999999995,12.0,8.0,13.0,4.0,2
8.2,13.0,15.4,14.5,17.3,0
8.4,14.0,13.800000000000002,13.5,13.300000000000002,0
17.9,13.0,12.0,14.0,2.9,2
18.6,14.0,20.0,14.0,15.0,1
14.5,14.0,16.0,13.0,12.0,0
19.2,14.0,18.0,15.0,17.1,1
12.300000000000002,14.0,16.0,16.5,20.0,1
16.1,13.0,20.0,13.0,16.0,1
11.9,13.0,16.0,13.5,12.0,0
12.7,14.0,16.9,14.0,17.3,1
8.9,13.0,20.0,12.5,8.6,0
15.699999999999998,13.5,12.0,14.0,17.3,0
12.6,15.0,6.0,14.0,16.2,0
16.3,13.5,20.0,13.0,16.0,1
8.2,15.5,9.2,13.0,17.3,0
16.4,13.0,20.0,13.0,18.6,1
11.2,14.5,14.4,14.5,17.3,0
12.800000000000002,12.5,18.0,12.0,20.0,0
9.4,12.0,10.0,13.0,8.0,2
16.1,13.0,20.0,13.5,16.0,1
19.5,14.5,20.0,14.5,17.3,1
14.199999999999998,14.0,16.0,13.0,14.699999999999998,0
15.5,14.0,12.0,13.0,12.5,0
15.5,13.0,20.0,14.0,14.7,1
11.3,11.0,4.0,13.0,16.0,2
10.5,14.0,20.0,12.5,11.4,0
16.2,20.0,20.0,20.0,20.0,1
15.3,18.0,20.0,19.0,20.0,1
15.9,17.0,20.0,16.0,20.0,1
12.0,15.0,20.0,16.0,20.0,1
16.8,19.5,20.0,19.0,20.0,1
17.3,13.0,20.0,13.0,17.5,1
8.4,15.5,15.4,14.0,13.3,0
11.1,13.0,20.0,13.5,10.0,0
9.5,12.0,10.800000000000002,13.0,16.0,2
9.1,14.0,20.0,14.0,11.4,0
19.2,15.0,20.0,14.5,18.6,1
16.8,11.5,18.0,12.5,12.5,0
11.8,12.0,12.7,13.5,16.0,0
7.2,12.5,8.2,13.5,9.0,2
14.2,15.0,16.0,14.5,17.3,1
7.9,12.8,12.0,12.7,12.0,2
8.8,13.0,10.0,12.0,12.0,2
15.1,16.0,16.0,13.0,20.0,1
13.7,15.0,16.0,13.0,12.0,0
13.9,12.8,14.0,13.2,18.0,0
16.2,13.0,12.0,13.5,20.0,1
14.4,14.0,8.0,15.0,17.3,0
16.0,15.0,18.0,15.0,20.0,1
14.2,13.5,14.0,13.5,18.0,0
15.5,13.0,16.0,14.0,14.699999999999998,0
13.5,13.0,8.0,15.0,12.0,0
16.6,14.5,16.0,13.5,17.3,1
17.0,15.0,12.0,14.0,18.0,1
10.3,12.5,12.0,14.0,16.0,0
14.1,14.0,16.0,13.0,18.0,1
11.800000000000002,16.0,11.1,15.0,13.300000000000002,1
5.3,13.0,7.8,13.5,10.7,2
16.1,13.0,16.0,13.0,12.0,0
16.6,13.0,20.0,13.0,18.7,1
10.1,14.0,16.0,14.0,17.3,0
18.6,11.0,20.0,12.0,17.5,0
14.699999999999998,16.0,18.9,15.0,18.7,1
18.4,14.0,20.0,14.0,16.0,1
16.6,14.0,12.0,13.5,14.7,0
14.5,12.0,20.0,14.0,16.0,0
15.1,14.0,12.0,13.5,16.0,0
17.0,13.5,20.0,12.0,17.5,1
17.5,14.0,20.0,14.5,17.5,1
17.3,13.0,18.0,13.0,17.5,1
17.9,12.0,16.0,13.0,17.1,0
19.3,14.0,20.0,14.0,15.0,1
19.5,14.0,16.0,14.0,20.0,1
16.3,14.0,20.0,15.0,14.0,1
14.199999999999998,12.0,14.0,17.0,14.0,0
11.8,15.0,16.7,14.5,17.3,1
12.1,13.5,14.0,13.5,12.0,0
13.5,11.0,6.0,14.0,14.699999999999998,2
8.9,13.0,4.0,12.0,13.300000000000002,2
15.9,14.0,16.0,13.5,18.0,1
14.6,13.0,18.0,12.5,18.0,1
14.699999999999998,12.0,20.0,12.0,16.0,0
13.3,12.0,18.0,12.0,16.0,0
12.2,13.0,8.0,13.5,16.2,0
18.6,14.0,20.0,14.5,10.0,1
8.9,14.0,18.0,12.0,10.5,0
10.699999999999998,14.0,4.0,14.0,17.1,0
11.699999999999998,12.0,10.0,14.0,10.0,2
18.2,14.0,18.0,15.0,20.0,1
14.8,14.0,13.8,13.0,16.0,0
10.4,14.0,10.0,14.0,15.199999999999998,0
10.3,13.0,20.0,12.5,10.0,0
9.4,15.0,11.1,15.0,14.699999999999998,0
14.6,18.0,16.0,14.0,18.0,1
13.9,14.0,18.5,16.0,17.3,1
14.2,15.0,20.0,15.0,18.7,1
11.7,14.0,20.0,14.0,17.3,1
7.0,14.0,20.0,6.0,18.0,2
14.199999999999998,15.0,20.0,13.0,20.0,1
10.5,15.0,20.0,12.0,16.0,1
6.1,15.0,9.4,3.0,16.7,2
15.3,16.0,20.0,17.0,16.0,1
14.4,16.0,18.7,18.5,10.0,1
6.3,16.0,16.0,15.4,10.0,0
18.8,16.7,17.5,16.7,20.0,1
16.1,15.0,12.5,13.3,18.3,1
15.2,15.0,15.0,15.0,16.7,1
14.9,16.7,15.0,13.3,16.7,1
10.4,15.0,14.1,15.0,13.0,0
11.8,15.0,20.0,14.0,13.3,1
10.0,14.0,14.1,14.5,10.4,0
13.6,14.0,16.7,13.0,15.0,0
14.599999999999998,13.0,18.3,13.5,10.8,0
15.2,16.0,16.5,16.0,13.0,1
10.0,15.0,18.8,16.0,14.8,1
16.0,15.0,20.0,14.5,9.3,1
12.400000000000002,15.0,16.2,14.5,15.0,1
13.3,14.0,20.0,14.5,18.0,1
7.1,13.0,7.5,14.0,10.0,2
10.9,14.0,17.6,15.5,13.0,0
15.5,14.5,20.0,15.0,16.0,1
17.8,13.0,20.0,14.0,16.0,1
14.5,14.0,15.0,14.5,15.0,1
14.0,15.0,18.0,12.0,17.3,1
9.1,15.5,11.8,13.0,7.8,2
14.4,14.0,16.7,14.0,16.7,1
18.0,13.0,20.0,13.0,9.3,1
7.6,14.5,10.599999999999998,14.7,7.799999999999999,2
17.5,15.0,14.0,14.0,19.1,1
8.0,14.0,14.1,14.0,13.0,0
9.3,14.699999999999998,12.9,14.800000000000002,13.0,0
12.0,15.0,16.2,15.0,15.0,1
17.6,15.0,20.0,15.0,20.0,1
5.8,14.0,14.1,12.8,13.0,0
15.3,14.0,16.7,13.0,18.3,1
11.5,12.0,16.0,13.0,17.3,0
17.0,16.0,20.0,15.5,18.0,1
12.6,12.0,20.0,12.0,10.9,0
18.4,13.0,20.0,15.0,16.0,1
12.9,15.0,12.0,13.0,14.300000000000002,0
14.5,13.5,8.8,14.5,8.3,0
8.0,13.0,10.6,13.0,10.4,2
13.6,13.0,16.7,13.0,10.0,0
12.1,14.0,10.0,10.0,17.1,0
16.0,13.5,20.0,15.0,20.0,1
16.0,12.0,16.0,12.0,17.3,0
15.3,14.0,20.0,14.0,9.3,1
11.5,13.0,13.3,14.0,10.0,0
6.0,13.0,12.0,13.0,17.1,0
4.5,12.0,6.0,11.0,12.900000000000002,2
8.7,13.0,12.900000000000002,14.0,16.5,0
19.7,16.0,20.0,16.0,20.0,1
9.9,12.8,12.0,13.0,14.0,0
14.0,13.5,11.7,11.0,16.7,0
15.699999999999998,14.0,18.3,12.5,11.7,1
10.7,13.8,14.1,14.0,12.2,0
17.6,14.0,20.0,15.0,20.0,1
11.1,15.5,17.6,15.699999999999998,13.9,1
15.5,15.0,10.0,15.0,8.3,0
7.6,12.5,10.0,12.5,9.3,2
9.8,14.0,10.6,14.0,8.7,2
16.0,14.0,16.7,14.0,13.3,1
13.0,15.5,15.300000000000002,15.5,13.9,1
12.0,14.0,17.5,14.0,13.3,0
13.9,12.0,20.0,13.0,17.3,0
17.1,13.5,20.0,13.5,13.8,1
11.7,12.5,16.7,13.0,8.3,0
13.5,14.5,18.8,15.0,13.9,1
15.8,13.0,16.7,16.0,18.3,1
15.0,13.0,16.7,15.0,15.0,1
18.9,13.0,20.0,15.0,16.7,1
10.7,14.0,15.3,13.0,13.9,0
9.6,12.0,15.0,14.0,5.0,2
13.099999999999998,13.0,16.0,11.0,15.0,0
8.2,12.0,14.7,12.0,11.7,2
12.9,13.0,10.0,14.5,13.3,0
14.3,13.0,14.7,14.0,10.0,0
12.9,12.5,16.7,14.0,11.7,0
7.4,12.8,17.3,12.5,10.0,2
13.7,15.0,16.7,16.0,18.3,1
10.9,14.0,18.7,14.0,11.7,0
12.4,13.0,13.3,13.5,10.0,0
10.7,12.3,17.5,14.0,11.7,0
15.100000000000001,15.0,16.7,15.0,16.7,1
13.8,13.0,20.0,13.0,11.8,0
10.4,14.5,16.5,13.0,16.5,0
16.3,13.0,20.0,14.0,13.3,1
14.4,12.0,16.0,13.0,16.7,0
13.3,16.0,14.0,16.5,20.0,1
7.6,12.7,10.6,13.5,11.3,2
8.7,13.699999999999998,17.6,16.0,16.5,0
13.599999999999998,14.0,18.0,14.0,14.0,1
14.6,14.0,12.0,13.0,20.0,1
13.3,14.0,18.0,13.8,16.0,1
18.6,14.0,16.0,17.0,17.3,1
14.4,12.800000000000002,18.3,14.0,14.199999999999998,0
10.9,14.0,17.6,13.5,13.0,0
13.9,13.0,10.0,15.0,16.0,0
8.2,13.5,2.5,13.5,11.7,2
8.4,13.5,12.0,13.0,12.0,2
9.9,13.0,11.7,13.0,8.3,2
8.7,14.0,5.9,15.0,13.0,2
15.699999999999998,13.0,20.0,13.0,15.0,1
7.7,12.0,14.7,12.5,10.0,2
16.5,12.0,20.0,12.0,13.3,0
15.3,13.5,16.0,14.0,16.9,1
8.8,13.0,6.0,13.0,14.299999999999999,2
9.6,12.5,17.6,14.5,20.0,0
7.599999999999999,14.0,15.300000000000002,14.0,15.699999999999998,0
16.8,14.0,20.0,15.0,20.0,1
16.9,14.0,20.0,15.0,20.0,1
17.7,14.0,14.700000000000001,14.0,15.0,1
18.4,15.0,20.0,15.0,20.0,1
12.6,15.0,17.6,16.0,15.699999999999998,1
14.800000000000002,13.5,16.0,13.0,17.3,1
14.6,14.0,18.0,14.0,16.0,1
8.9,14.5,15.3,14.0,17.4,0
9.7,13.0,16.0,13.0,10.9,0
16.1,14.5,20.0,15.0,12.0,1
14.800000000000002,15.0,13.9,17.0,15.300000000000002,1
17.1,13.5,18.0,13.5,17.3,1
11.300000000000002,13.5,14.1,13.5,17.4,0
16.2,13.5,20.0,14.0,20.0,1
14.5,14.0,12.5,15.0,13.3,0
13.1,13.300000000000002,18.0,14.0,14.699999999999998,0
10.3,12.0,16.0,12.0,11.7,2
15.9,13.5,18.0,13.5,17.3,1
19.5,14.5,18.0,14.0,18.7,1
14.1,15.5,18.0,16.0,17.3,1
15.0,14.0,20.0,13.0,12.0,1
13.5,12.0,20.0,14.0,13.3,0
14.0,13.0,14.0,14.0,10.8,0
13.1,13.5,18.0,14.0,4.6,0
12.4,14.5,18.0,14.0,16.0,1
15.6,14.0,20.0,13.0,14.0,1
12.6,13.5,16.5,16.0,13.0,0
10.4,15.0,16.5,14.0,16.5,1
15.9,14.0,20.0,15.0,18.2,1
23.0,12.5,15.300000000000002,14.5,18.3,1
9.5,14.0,9.3,10.0,12.7,2
15.1,14.0,16.0,13.5,12.3,0
19.8,15.0,20.0,14.5,20.0,1
12.5,14.5,16.0,13.0,20.0,1
14.7,13.0,16.0,13.0,11.7,0
12.7,12.8,14.7,12.5,16.7,0
15.3,14.5,20.0,14.5,14.7,1
11.9,13.0,18.0,13.0,18.0,0
7.799999999999999,14.0,10.0,12.0,17.1,0
18.5,16.0,20.0,16.5,17.3,1
15.8,14.5,20.0,13.5,17.3,1
14.6,12.0,18.0,13.5,18.0,0
10.5,14.0,14.0,12.0,17.3,0
10.6,13.5,10.0,13.5,13.3,0
17.3,15.0,16.0,15.0,12.0,1
15.1,14.5,18.0,15.0,14.7,1
12.4,13.5,20.0,13.5,17.3,1
15.9,13.0,18.0,14.0,13.300000000000002,1
16.1,14.0,16.0,14.0,16.0,1
15.3,14.0,20.0,13.5,13.3,1
19.6,15.0,18.7,14.0,18.3,1
9.8,12.0,16.0,14.0,13.3,0
15.399999999999999,13.0,18.0,13.0,12.0,0
16.6,16.0,18.0,16.5,20.0,1
15.9,15.0,12.5,15.0,18.3,1
15.800000000000002,12.5,16.0,13.0,17.3,0
16.9,12.0,16.0,12.5,20.0,0
17.8,17.0,20.0,16.5,20.0,1
16.1,15.0,16.0,14.5,9.3,1
15.199999999999998,12.5,20.0,14.0,16.0,1
14.1,13.0,20.0,10.0,14.0,0
17.9,13.0,20.0,14.0,18.0,1
18.4,13.0,20.0,14.0,20.0,1
18.4,15.0,20.0,15.0,16.0,1
17.9,14.5,18.0,14.0,20.0,1
17.9,14.0,20.0,12.0,16.7,1
10.699999999999998,13.5,16.0,14.0,14.0,0
15.6,15.0,18.0,14.0,20.0,1
16.4,14.0,14.0,15.0,17.3,1
14.5,12.0,14.0,12.0,17.3,0
13.6,12.0,18.0,12.5,16.0,0
12.2,14.0,14.1,15.0,13.9,0
18.5,14.0,20.0,14.0,16.0,1
10.0,14.0,16.5,15.0,15.699999999999998,0
12.6,13.0,13.300000000000002,14.5,15.0,0
10.3,14.0,15.0,16.0,11.7,0
8.4,14.0,12.5,12.5,10.0,2
12.0,12.5,14.0,13.0,3.1,2
10.0,15.0,12.5,15.0,8.3,0
13.6,13.5,16.0,13.0,16.0,0
9.9,13.0,18.0,12.5,12.0,0
12.9,12.5,16.0,14.0,12.0,0
15.5,14.0,10.0,14.0,12.0,0
11.1,13.5,18.8,14.5,10.4,0
14.1,15.0,20.0,15.0,14.0,1
13.3,14.0,16.5,14.5,15.7,1
12.3,15.5,15.4,15.0,12.0,1
14.599999999999998,13.0,18.0,13.0,15.400000000000002,0
18.1,16.0,17.6,16.5,20.0,1
14.3,15.0,18.8,14.5,16.5,1
10.6,14.8,13.0,14.7,12.0,0
12.7,16.0,12.5,16.0,14.3,1
12.099999999999998,13.0,20.0,13.0,20.0,1
10.2,13.0,16.5,14.5,17.4,0
11.3,16.0,10.0,16.0,10.5,0
13.1,14.0,12.0,14.0,20.0,0
17.3,15.0,16.0,15.0,15.7,1
16.0,15.0,17.5,15.0,19.0,1
15.1,17.0,16.0,14.0,16.0,1
7.9,13.0,14.1,12.5,8.7,2
14.7,15.0,16.9,15.0,14.0,1
14.1,14.0,16.0,13.0,15.699999999999998,0
10.8,13.0,17.6,14.0,13.900000000000002,0
16.6,15.0,18.0,14.0,12.0,1
11.7,14.0,14.1,15.5,11.3,0
11.7,15.0,16.5,14.0,16.5,1
18.7,14.0,20.0,14.0,19.1,1
7.6,13.0,16.5,12.8,12.2,0
16.5,16.0,18.5,16.0,16.0,1
12.4,13.0,18.0,14.0,8.0,0
15.0,15.0,18.0,15.0,18.0,1
10.9,14.0,10.0,15.0,15.3,0
19.3,16.0,16.0,15.0,18.6,1
9.6,14.0,18.0,14.0,18.0,0
12.7,15.0,6.2,15.0,13.3,0
9.2,13.0,12.9,13.0,13.0,0
12.0,13.0,16.9,14.0,14.0,0
12.6,14.0,14.0,15.5,20.0,1
18.3,14.0,20.0,15.0,17.3,1
14.6,15.0,16.0,14.0,11.4,1
11.7,13.5,13.0,14.8,10.0,0
13.1,13.0,13.8,14.0,12.0,0
6.6,14.5,14.0,13.5,16.0,0
10.5,13.0,11.8,12.5,13.0,2
19.1,14.0,20.0,15.0,20.0,1
9.3,12.0,18.0,12.0,16.0,0
15.5,16.0,12.3,13.0,14.0,1
13.9,14.0,16.9,13.0,12.0,0
13.3,14.0,16.5,14.800000000000002,17.4,1
19.1,14.0,20.0,14.0,19.1,1
12.4,15.0,17.6,15.0,16.5,1
9.4,12.5,10.0,13.0,5.3,2
8.9,13.8,15.3,13.0,19.1,0
16.3,14.0,15.4,15.0,16.0,1
10.800000000000002,15.0,11.800000000000002,14.0,17.4,0
12.0,14.0,15.0,15.0,16.2,0
10.5,12.5,10.0,13.5,8.0,2
16.0,14.0,18.0,13.5,13.3,1
9.3,12.0,7.700000000000001,13.0,14.0,2
9.6,13.0,12.3,11.0,8.0,2
15.199999999999998,15.0,18.8,14.0,17.4,1
17.3,13.8,14.0,15.0,18.5,1
19.5,14.0,20.0,17.0,16.0,1
16.3,13.0,20.0,13.5,16.4,1
9.2,13.5,14.1,13.0,15.7,0
8.6,12.800000000000002,15.4,13.0,10.0,2
13.8,13.0,18.0,12.0,15.599999999999998,0
11.8,12.0,12.0,13.0,12.6,2
15.0,13.8,10.0,13.5,14.8,0
14.7,12.0,16.9,14.0,14.0,0
12.2,12.0,12.0,11.0,13.5,2
14.899999999999999,14.0,10.8,17.0,18.0,1
8.2,13.0,10.0,12.0,8.1,2
13.4,13.0,14.0,13.0,12.8,0
10.0,14.0,13.8,15.0,14.3,0
18.4,15.0,16.9,17.0,16.0,1
12.8,15.0,12.0,15.0,10.7,0
12.4,14.5,14.1,13.0,11.3,0
15.1,13.5,20.0,14.0,14.5,1
15.1,12.0,20.0,13.0,17.3,0
15.4,15.0,18.0,17.0,20.0,1
6.3,13.0,14.1,13.0,11.3,2
11.699999999999998,13.0,15.300000000000002,14.0,15.699999999999998,0
11.5,14.0,16.0,13.0,20.0,0
14.6,13.0,20.0,13.0,6.7,0
9.0,13.0,18.0,12.5,16.0,0
16.4,13.0,10.0,15.0,10.0,0
13.300000000000002,13.0,10.0,13.0,11.9,0
11.1,12.800000000000002,16.5,13.5,13.9,0
14.699999999999998,13.0,16.0,14.0,17.3,1
10.800000000000002,13.0,11.800000000000002,14.0,15.699999999999998,0
9.2,14.5,10.6,15.0,10.4,0
14.0,14.0,10.0,14.0,9.5,0
12.7,13.5,16.0,13.7,9.3,0
10.1,13.5,16.9,12.8,18.0,0
7.3,13.5,12.9,12.5,14.8,0
13.1,14.0,12.0,12.5,17.4,0
16.3,15.0,18.0,12.0,18.6,1
13.7,14.0,9.0,14.599999999999998,13.3,0
10.8,13.5,16.0,14.0,14.0,0
11.4,12.5,15.3,14.0,14.8,0
8.3,14.0,11.800000000000002,13.0,15.699999999999998,0
17.2,14.0,18.0,15.0,17.3,1
15.9,13.0,14.0,14.0,15.6,0
15.699999999999998,14.0,18.0,15.0,17.3,1
11.699999999999998,14.0,17.6,15.0,14.800000000000002,1
13.6,14.0,14.0,13.699999999999998,9.3,0
11.9,13.5,10.0,14.0,20.0,0
10.2,14.0,14.099999999999998,14.5,13.0,0
13.8,13.0,2.0,14.0,12.0,2
13.6,14.5,10.0,15.0,16.0,0
14.0,14.0,14.1,15.0,17.4,1
14.300000000000002,14.0,14.0,13.5,14.699999999999998,0
9.2,13.0,17.6,11.800000000000002,16.5,0
16.3,13.0,10.0,13.5,17.3,0
11.1,12.0,10.0,14.0,18.0,0
11.4,13.0,16.0,13.0,13.3,0
12.9,12.5,12.0,12.5,14.7,0
17.4,13.5,14.0,13.5,14.7,1
12.7,14.0,11.8,15.0,13.0,0
8.8,13.5,6.0,15.0,14.0,2
7.4,14.0,12.0,14.0,2.7,2
15.300000000000002,15.0,20.0,14.0,17.3,1
11.1,15.0,15.3,14.5,11.3,0
14.8,15.5,10.0,16.0,20.0,1
10.800000000000002,12.0,10.6,13.0,13.9,2
14.3,13.0,18.0,13.0,14.7,0
19.8,15.0,18.0,15.5,17.3,1
14.4,13.0,18.0,13.0,17.3,1
14.3,13.0,18.0,13.0,10.6,0
11.1,13.0,12.0,12.0,13.5,0
15.2,14.6,10.0,14.8,10.0,0
8.6,13.0,14.0,13.0,16.0,0
11.1,13.0,18.0,12.8,20.0,0
14.4,15.0,6.0,16.0,16.0,0
11.8,14.0,8.0,15.0,8.0,2
10.6,12.0,14.0,13.0,18.0,0
16.0,15.0,6.0,15.0,16.0,1
13.6,14.5,12.0,15.0,14.0,0
14.5,14.5,18.0,14.0,16.0,1
12.699999999999998,13.0,10.0,15.0,14.0,0
12.7,15.0,8.0,15.0,14.0,0
12.0,14.5,14.0,15.0,14.0,0
19.3,15.0,20.0,15.0,18.5,1
11.6,12.0,18.0,11.8,10.7,0
14.800000000000002,13.0,18.0,13.0,17.3,1
17.1,14.5,6.0,16.0,12.0,0
14.699999999999998,16.0,8.8,15.5,12.4,1
14.6,13.0,16.0,13.0,8.0,0
14.9,14.0,18.0,13.0,12.0,1
16.0,17.0,16.2,19.0,17.1,1
13.3,14.0,14.0,16.0,16.0,1
14.0,13.0,14.0,15.0,9.3,0
18.5,14.0,20.0,15.0,12.0,1
16.1,13.0,20.0,14.0,16.4,1
18.3,15.0,20.0,15.0,16.0,1
16.3,13.5,14.0,13.0,16.2,0
17.9,12.8,18.0,13.0,12.599999999999998,1
13.6,12.800000000000002,18.0,13.0,10.699999999999998,0
11.9,14.800000000000002,12.0,14.5,20.0,1
12.0,14.0,16.0,15.0,18.0,1
13.5,12.0,10.0,11.0,14.699999999999998,2
11.0,12.0,14.0,12.5,8.0,2
19.4,13.0,20.0,16.0,13.300000000000002,1
10.5,14.0,15.300000000000002,15.0,19.1,1
13.4,11.0,16.0,14.0,17.0,0
14.7,12.0,13.8,14.0,16.0,0
12.699999999999998,14.0,13.0,15.0,16.5,0
12.0,14.0,8.8,14.0,13.300000000000002,0
11.7,12.8,18.0,13.0,17.3,0
8.6,12.5,10.0,12.5,14.0,2
15.2,13.0,16.0,13.0,12.0,0
12.1,13.0,6.0,14.0,18.0,0
8.3,13.0,15.3,13.0,13.9,0
11.2,12.5,10.0,13.8,10.0,2
16.4,12.5,11.2,10.0,20.0,0
16.1,14.0,20.0,12.0,18.0,1
14.5,13.0,20.0,12.0,20.0,1
14.4,13.0,20.0,13.0,17.0,1
16.4,16.0,20.0,16.0,18.0,1
16.5,11.0,20.0,13.0,20.0,1
11.8,10.0,13.6,4.0,8.0,2
16.9,14.0,20.0,14.0,19.0,1
13.8,18.7,16.0,20.0,16.7,1
15.8,18.2,5.0,15.6,18.2,1
10.0,16.5,6.2,11.1,17.3,0
12.1,16.5,3.8,11.1,12.7,2
17.4,16.0,20.0,16.0,20.0,1
14.9,14.0,20.0,14.0,20.0,1
14.4,14.0,16.0,13.0,16.0,1
12.8,13.0,14.0,11.0,18.0,0
11.2,14.0,13.3,13.0,3.3,2
16.9,12.8,18.2,13.5,16.0,1
15.0,14.0,12.0,14.0,15.0,0
13.2,14.0,20.0,12.0,6.2,0
12.6,13.0,12.2,14.0,6.7,2
12.5,13.0,17.2,13.0,20.0,0
10.5,16.0,14.3,14.0,12.5,0
10.4,12.0,12.2,13.0,20.0,0
15.3,14.0,17.3,13.0,16.0,1
11.1,14.0,14.0,13.0,13.5,0
13.7,14.0,12.0,13.0,16.0,0
11.900000000000002,13.0,16.7,15.0,3.3,0
16.9,15.0,14.0,15.5,19.0,1
13.7,13.0,18.0,15.0,16.0,1
10.5,12.0,18.0,12.0,12.5,0
13.0,14.0,17.3,13.0,12.0,0
10.2,12.0,14.4,11.0,3.3,2
16.1,15.0,15.0,14.0,20.0,1
8.8,12.5,18.0,11.0,10.0,2
11.5,11.0,8.0,12.0,16.0,2
15.699999999999998,13.0,16.0,12.0,16.0,0
9.8,13.0,12.2,14.0,20.0,0
12.6,15.0,14.0,12.0,8.0,0
13.9,14.0,18.0,11.0,18.0,1
12.199999999999998,13.0,16.0,13.0,16.0,0
14.8,13.0,17.3,14.0,8.0,0
12.4,14.0,12.0,13.0,14.7,0
9.7,12.0,12.0,12.0,18.0,0
